,title,id,downloads,episodes_per_week
0,Pack-A-Day: Your Daily Packers Podcast,49112a7c-4734-46b6-8b6d-dc75390d9e5f,152422,7.75
1,London Is Blue - Chelsea FC Soccer Podcast,a5199b81-00cd-4992-9409-f7dea9bb2209,144430,3.0
2,Laker Film Room - Dedicated to the Study of Lakers Basketball,d9f9dd05-52af-498c-88f7-5331d9cc69ac,143342,3.0
3,Insight with Chris Van Vliet,a6c2fb18-b21a-4b4b-b03f-63d4be8309c3,98344,2.75
4,Dropping the Gloves,15d13272-a9ca-4059-bfa7-7579f27a22b8,89843,3.25
5,The Dane Moore NBA Podcast,693d4917-6863-4312-8782-36d9573665c7,82289,5.5
6,The Bronx Pinstripes Show - Yankees MLB Podcast,e1cde930-4b87-43a8-8ffe-220f51ecfdcb,80508,1.5
7,Purple Insider - a Minnesota Vikings and NFL podcast,8aa5ef4f-0ccb-4146-b3b4-21fff5e06450,79534,6.75
8,Light Years: A Golden State Warriors Pod,68cb72dd-f267-47ba-ae1c-a5931a5bb780,72456,3.75
9,Rotoviz Radio,59e5788d-ef6c-4ecf-ad6e-c90dd60e0237,70807,9.0
10,Always Cheating: A Fantasy Premier League Podcast (FPL),0e3a8b22-7bb0-426e-ae91-9927274b0da2,70238,1.5
11,Touchline Fracas: A Premier League Football Podcast ( Arsenal Chelsea Liverpool Spurs Manchester United ),88b3aada-c54c-46b4-81d7-7d30e4d260a0,59387,6.5
12,Knicks Film School,174f84ab-e4f8-492e-9f9e-58512e39731a,58980,5.5
13,Irish Breakdown,ee86d294-2c95-49f3-9f63-6c353ce79b94,57871,7.5
14,Keeping Karlsson Fantasy Hockey Podcast,82514447-3f80-44a1-bb5b-d79c92f7095e,57346,3.0
15,The Miami Heat Beat Podcast,04e48205-c16a-4204-82cc-27d568f90a3a,53196,6.5
16,The Hockey PDOcast,4dd8427e-5fe2-4662-9f90-3317e05811be,48726,1.0
17,Washed Up Walkons,4a823cde-883d-4ba2-80c8-9c6bc461f0a7,48288,2.0
18,American Prodigy: Freddy Adu,a0f07f5d-9c46-4815-ae9e-9977e0a6c654,47564,0.0
19,Burn It All Down,c66dbabd-883c-4ede-aac7-02f446b6bd45,43127,2.0
